"All transactions for ktamas"
Date,Description,Currency,Amount,Type,Tags,Account,Status,kovacs.tamas.hun@gmail.com,"László Ratskó","Virág Zoltán"
2012-04-05,"To savings",HUF,"+ 50,000.00",Transfer,"To savings","Kézpénz -> Megtakarítás",Cleared,"Get 0.00",0.00,0.00
2012-03-31,Kaja,HUF,"- 0.00",Expense,Food,"Későbbi kiadások",Cleared,"Get 0.00",0.00,0.00
2012-03-14,Rövidnadrág,HUF,"+ 3,400.00",Expense,Clothing,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-14,Tesco,HUF,"+ 4,630.00",Expense,Grocery,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-14,"Ebéd - Don Pepe",HUF,"+ 565.00",Expense,Lunch,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-14,"Ebéd - Don Pepe",HUF,"+ 400.00",Expense,Lunch,"Erzsébet utalvány",Cleared,"Get 0.00",0.00,0.00
2012-03-14,"To wallet",HUF,"+ 20,000.00",Transfer,"To wallet","Kézpénz -> Pénztárca",Cleared,"Get 0.00",0.00,0.00
2012-03-14,"Reggeli - Kisbolt",HUF,"+ 250.00",Expense,Breakfast,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-13,"Reggeli - Pékség",HUF,"+ 185.00",Expense,Breakfast,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-13,"To wallet",HUF,"+ 10,000.00",Transfer,"To wallet","Kézpénz -> Pénztárca",Cleared,"Get 0.00",0.00,0.00
2012-03-13,"Ebéd - Don Pepe",HUF,"+ 100.00",Expense,Lunch,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-13,"Ebéd - Don Pepe",HUF,"+ 1,000.00",Expense,Lunch,"Erzsébet utalvány",Cleared,"Get 0.00",0.00,0.00
2012-03-13,Fornetti,HUF,"+ 190.00",Expense,Dinner,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-13,"Vacsora - McDonalds",HUF,"+ 1,550.00",Expense,Dinner,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-13,Bérlet,HUF,"+ 3,850.00",Expense,"Public Transport",Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-13,"2 buszjegy",HUF,"+ 640.00",Expense,"Public Transport",Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-13,Csoki,HUF,"+ 455.00",Expense,Grocery,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-12,"Vacsora - Kisbolt",HUF,"+ 955.00",Expense,Dinner,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-12,"Ebéd - Don Pepe",HUF,"+ 1,100.00",Expense,Lunch,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-12,Neocitran,HUF,"+ 1,960.00",Expense,Pharmacy,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-12,"Reggeli - Kisbolt",HUF,"+ 135.00",Expense,Breakfast,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-10,"Névnapra mamáéktól",HUF,"+ 3,000.00",Income,Gift,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-10,"Vonatjegy haza",HUF,"+ 1,680.00",Expense,"Public Transport",Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-10,"2 kroasszant",HUF,"+ 240.00",Expense,Grocery,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-09,Kisbolt,HUF,"+ 850.00",Expense,Grocery,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-09,"Reggeli - Pékség",HUF,"+ 200.00",Expense,Breakfast,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-09,"Ebéd - Don Pepe",HUF,"+ 40.00",Expense,Lunch,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-09,"Ebéd - Don Pepe",HUF,"+ 1,000.00",Expense,Lunch,"Erzsébet utalvány",Cleared,"Get 0.00",0.00,0.00
2012-03-08,Kisbolt,HUF,"+ 1,700.00",Expense,Grocery,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-08,"Ebéd - Don Pepe",HUF,"+ 500.00",Expense,Lunch,"Erzsébet utalvány",Cleared,"Get 0.00",0.00,0.00
2012-03-08,"Ebéd - Don Pepe",HUF,"+ 150.00",Expense,Lunch,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-08,"Reggeli - Kisbolt",HUF,"+ 280.00",Expense,Breakfast,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-07,Vodafone,HUF,"+ 3,000.00",Expense,Phone,OTP,Cleared,"Get 0.00",0.00,0.00
2012-03-07,"Currency Conversion (Debit) From Hungarian Forint: To U.S. Dollar",HUF,"+ 1,154.00",Expense,Buxfer,OTP,Cleared,"Get 0.00",0.00,0.00
2012-03-07,Tisztítószerek,HUF,"+ 1,685.00",Expense,"Shopping » Grooming",Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-07,"Iwebs office",HUF,"+ 840.00",Expense,"Iwebs Office",Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-07,Kaja,HUF,"+ 8,960.00",Expense,Food,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-07,Lakbér,HUF,"+ 55,000.00",Expense,Rent,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-07,"Csavarhúzó készlet",HUF,"+ 2,490.00",Expense,"Home Improvement",OTP,Cleared,"Get 0.00",0.00,0.00
2012-03-07,Anyáéknak,HUF,"+ 20,000.00",Expense,"To Mums",Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-07,"Közös költség",HUF,"+ 16,000.00",Expense,"Community fee",Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-07,"To OTP",HUF,"+ 15,000.00",Transfer,"To OTP","Pénztárca -> OTP",Cleared,"Get 0.00",0.00,0.00
2012-03-06,Fizetés,HUF,"+ 5,000.00",Income,Sallary,"Erzsébet utalvány",Cleared,"Get 0.00",0.00,0.00
2012-03-06,Fülhallgató,HUF,"+ 11,000.00",Expense,Electronics,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-06,"To wallet",HUF,"+ 113,000.00",Transfer,"To wallet","Kézpénz -> Pénztárca",Cleared,"Get 0.00",0.00,0.00
2012-03-05,"To savings",HUF,"+ 60,000.00",Transfer,"To savings","Kézpénz -> Megtakarítás",Cleared,"Get 0.00",0.00,0.00
2012-03-05,Fizetés,HUF,"+ 193,000.00",Income,Sallary,Kézpénz,Cleared,"Get 0.00",0.00,0.00
2012-03-03,Házhozszállítás,HUF,"+ 5,000.00",Expense,Shipping,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-03,"Asztal elszállítás",HUF,"+ 2,000.00",Expense,Shipping,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-03,"IKEA egyéb",HUF,"+ 8,500.00",Expense,Furniture,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-03,"IKEA szék",HUF,"+ 25,000.00",Expense,Furniture,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-03-03,"IKEA asztal",HUF,"+ 25,000.00",Expense,Furniture,Pénztárca,Cleared,"Get 0.00",0.00,0.00
