"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"3/07/2012","Buxfer","Payment To Buxfer","4.99","debit","Uncategorized","PayPal Account","",""
"1/29/2012","Subscription Creation Habostorta","Subscription Creation To HABOSTORTA KFT.","0.00","credit","Income","PayPal Account","",""
"1/29/2012","Habostorta Kft","Payment To HABOSTORTA KFT.","4160.00","debit","Uncategorized","PayPal Account","",""
"1/25/2012","Buxfer","Payment To Buxfer","5.98","debit","Uncategorized","PayPal Account","",""
"1/21/2012","Subscription Cancellation Habostorta","Subscription Cancellation To HABOSTORTA KFT.","0.00","credit","Income","PayPal Account","",""
"1/02/2012","Steam Games","Payment To Steam Games","5.62","debit","Entertainment","PayPal Account","",""
"12/19/2011","For Janos Szolnoki","Payment For Janos Szolnoki","700.00","debit","Uncategorized","PayPal Account","",""
"12/14/2011","Subscription Cancellation Habostorta","Subscription Cancellation To HABOSTORTA KFT.","0.00","credit","Income","PayPal Account","",""
"12/14/2011","Subscription Creation Habostorta","Subscription Creation To HABOSTORTA KFT.","0.00","credit","Income","PayPal Account","",""
"12/14/2011","Habostorta Kft","Payment To HABOSTORTA KFT.","1140.00","debit","Uncategorized","PayPal Account","",""
"11/19/2011","Habostorta Kft","Payment To HABOSTORTA KFT.","1000.00","debit","Uncategorized","PayPal Account","",""
"10/26/2011","Orabrush","Payment To OraBrush","9.66","debit","Uncategorized","PayPal Account","",""
"9/17/2011","Habostorta Kft","Payment To HABOSTORTA KFT.","1000.00","debit","Uncategorized","PayPal Account","",""
"9/16/2011","Habostorta Kft","Payment To HABOSTORTA KFT.","4160.00","debit","Uncategorized","PayPal Account","",""
"9/16/2011","Transfer Bank Account","Transfer From Bank Account","10000.00","credit","Transfer","PayPal Account","",""
"9/16/2011","Subscription Creation Habostorta","Subscription Creation To HABOSTORTA KFT.","0.00","credit","Income","PayPal Account","",""
"6/28/2011","Subscription Cancellation Habostorta","Subscription Cancellation To HABOSTORTA KFT.","0.00","credit","Income","PayPal Account","",""
